name,goals,assists,minutes,influence,creativity,threat,ict,form,bps,clean,conceded
Pascal Groß,3,6,1371,484.4,709.8,264.0,145.9,5.4,325,1,21
João Pedro Junqueira de Jesus,5,1,958,300.2,216.0,438.0,95.5,2.2,190,1,18
Michał Karbownik,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kacper Kozłowski,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Adam Lallana,0,1,479,44.4,133.5,46.0,22.4,1.4,49,1,8
Tariq Lamptey,0,2,171,44.0,31.1,7.0,8.2,0.0,48,0,6
Solly March,3,1,555,197.4,126.5,139.0,46.4,0.0,134,2,11
Tom McGill,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
James Milner,0,1,521,103.8,148.6,29.0,28.2,1.2,92,1,10
Kaoru Mitoma,3,5,1320,294.2,346.3,547.0,118.9,2.0,211,0,25
Jakub Moder,0,0,26,8.6,0.4,0.0,0.9,0.4,11,0,0
Jeremy Sarmiento Morante,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kjell Scherpen,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jason Steele,0,0,810,204.6,0.1,0.0,20.5,0.6,143,0,17
Deniz Undav,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jan Paul van Hecke,0,0,1018,310.8,62.1,71.0,44.5,1.4,177,0,15
Joël Veltman,0,1,908,180.4,55.3,49.0,28.5,0.6,157,0,20
Bart Verbruggen,0,0,810,232.6,0.0,0.0,23.3,1.4,157,0,14
Adam Webster,0,0,540,108.6,26.6,19.0,15.5,0.0,89,0,13
Danny Welbeck,2,0,463,104.6,96.5,118.0,32.0,1.8,77,2,8
Andi Zeqiri,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Igor Julio dos Santos de Paulo,0,0,657,126.4,66.8,10.0,20.3,1.0,121,0,12
Jack Hinshelwood,1,0,436,84.8,52.6,133.0,27.0,3.0,60,0,12
Carlos Baleba,0,0,519,94.0,68.9,24.0,18.7,0.8,71,0,12
Anssumane Fati Vieira,2,0,286,97.0,54.5,176.0,32.7,0.0,55,1,6
Mark O’Mahony,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Benicio Baker-Boaitey,0,0,12,3.6,1.0,0.0,0.4,0.4,6,0,0
Ben Jackson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Joshua Duffus,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Leigh Kavanagh,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Luca Barrington,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Enock Agyei,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ameen Al-Dakhil,0,0,875,121.2,30.9,34.0,18.6,0.2,99,0,22
Samuel Bastien,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Manuel Benson Hedilazio,0,0,73,8.0,9.1,22.0,4.0,0.2,11,0,3
Jordan Beyer,0,1,1128,294.4,45.1,25.0,36.6,3.8,222,2,21
Josh Brownhill,3,0,1319,270.4,244.4,122.0,64.0,3.2,241,2,26
Darko Churlinov,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jack Cork,0,0,16,1.8,0.9,2.0,0.5,0.0,2,0,0
Dara Costelloe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Josh Cullen,0,1,844,128.8,114.2,18.0,26.1,0.0,119,0,24
CJ Egan-Riley,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Hjalmar Ekdal,0,0,105,14.6,12.0,2.0,2.8,0.6,20,0,1
Lyle Foster,3,3,718,196.6,105.8,162.0,46.4,1.2,121,2,19
Denis Franchi,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jóhann Berg Gudmundsson,0,1,651,107.0,328.9,66.0,50.3,0.6,98,1,11
Luke McNally,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Arijanet Muric,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Dara O'Shea,0,2,1207,316.2,73.5,89.0,48.1,3.6,212,2,30
Michael Obafemi,0,0,19,0.0,0.6,17.0,1.7,0.2,4,0,0
Bailey Peacock-Farrell,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Connor Roberts,0,1,754,136.2,92.8,8.0,23.6,0.4,107,0,21
Jay Rodriguez,2,1,695,129.8,50.7,206.0,38.0,3.0,98,1,14
Charlie Taylor,1,1,1260,247.0,110.7,28.0,38.7,3.6,208,2,23
Bobby Thomas,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Scott Twine,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lawrence Vigouroux,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Victor da Silva,0,0,955,91.8,60.4,41.0,19.3,3.4,115,2,18
Wout Weghorst,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Anass Zaroury,0,0,135,3.8,31.6,19.0,4.8,0.0,5,0,4
Sander Berge,1,1,1327,236.0,163.4,90.0,49.0,3.4,187,2,29
Zeki Amdouni,2,1,1228,209.0,152.1,300.0,66.2,3.8,130,4,22
James Trafford,0,0,1620,592.0,0.1,0.0,59.3,5.6,364,2,36
Nathan Redmond,0,0,127,23.4,52.0,16.0,9.1,0.8,35,0,4
Luca Koleosho,1,2,972,86.8,147.9,213.0,44.5,1.8,80,3,23
Jacob Bruun Larsen,2,0,441,106.0,161.7,142.0,40.6,2.6,85,1,8
Owen Dodgson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Wilson Odobert,3,1,403,169.4,94.8,102.0,36.6,4.6,121,1,10
Hannes Delcroix,0,0,309,56.8,37.5,42.0,13.6,0.4,55,0,13
Aaron Ramsey,0,0,255,23.2,21.3,24.0,6.7,0.2,33,0,8
Han-Noah Massengo,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mike Trésor,0,0,314,32.0,92.9,24.0,15.0,1.0,47,0,6
Moisés Caicedo Corozo,0,0,1183,174.8,148.6,27.0,34.6,1.8,160,3,19
Robert Sánchez,0,0,1433,450.6,0.1,0.0,45.2,3.2,317,3,25
Ethan Ampadu,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kepa Arrizabalaga,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Pierre-Emerick Aubameyang,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
César Azpilicueta,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Abdul Rahman Baba,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Benoît Badiashile,0,1,370,108.8,36.0,25.0,16.9,3.0,88,1,9
Marcus Bettinelli,0,0,0,0.0,0.0,0.0,0.0,-0.2,-3,0,0
Armando Broja,1,1,303,38.6,26.0,98.0,15.8,1.2,45,1,5
Trevoh Chalobah,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ben Chilwell,0,1,334,57.0,136.4,88.0,28.1,0.0,66,1,5
Carney Chukwuemeka,1,0,125,34.8,25.1,39.0,9.9,0.0,23,0,2
Levi Colwill,1,1,1360,283.2,95.5,153.0,53.2,3.4,280,4,20
Marc Cucurella Saseta,0,0,703,148.4,92.3,58.0,29.9,0.6,104,1,14
Enzo Fernández,2,1,1253,256.0,281.5,248.0,78.5,3.8,197,4,21
David Datro Fofana,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Wesley Fofana,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Conor Gallagher,0,5,1417,309.2,375.7,157.0,83.7,0.6,262,4,24
Malo Gusto,0,2,618,115.4,99.8,38.0,25.3,0.4,139,2,8
Reece James,0,1,386,115.2,156.9,59.0,33.2,0.4,95,0,12
Romelu Lukaku Bolingoli,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Noni Madueke,0,0,129,12.0,49.1,45.0,10.6,0.2,25,0,4
Mykhailo Mudryk,2,3,730,140.0,199.8,136.0,47.4,3.0,132,4,10
Nicolas Jackson,7,1,1269,343.6,191.1,589.0,112.0,3.0,197,4,22
Christopher Nkunku,1,0,32,38.2,3.2,62.0,10.3,1.4,27,0,1
Christian Pulisic,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Malang Sarr,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Gabriel Słonina,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Raheem Sterling,5,6,1419,340.6,358.3,519.0,121.7,3.0,231,3,25
Thiago Emiliano da Silva,1,0,1530,408.0,78.9,78.0,56.7,2.4,335,4,26
Hakim Ziyech,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Cole Palmer,6,4,1060,375.4,366.3,339.0,107.9,5.0,266,2,20
Ângelo Gabriel Borges Damaceno,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ian Maatsen,0,0,143,24.4,43.0,19.0,8.6,0.8,28,0,4
Axel Disasi,1,0,1416,303.6,66.7,82.0,45.3,2.2,268,4,21
Lesley Ugochukwu,0,0,269,47.0,22.0,2.0,7.1,0.2,53,1,6
Mason Burstow,0,0,8,0.4,0.6,2.0,0.3,0.0,6,0,1
Lucas Bergström,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Roméo Lavia,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Bashir Humphreys,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Deivid Washington de Souza Eugênio,0,0,9,0.0,0.1,4.0,0.4,0.0,3,0,1
Eddie Beach,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Diego Manuel Jadon da Silva Moreira,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Djordje Petrovic,0,0,186,32.0,0.0,0.0,3.2,1.8,39,1,3
Alfie Gilchrist,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ronnie Stutter,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alex Matos,0,0,1,0.0,0.0,0.0,0.0,0.0,2,0,0
Josh Brooking,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Leo Castledine,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Rob Holding,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Naouirou Ahamada,0,0,123,9.6,17.6,9.0,3.7,0.4,27,0,5
Joachim Andersen,2,1,1620,483.6,183.6,178.0,84.5,1.0,342,5,26
Jordan Ayew,2,3,1378,264.0,203.5,356.0,82.3,2.2,149,6,20
Nathaniel Clyne,0,0,461,50.8,11.1,12.0,7.5,1.2,68,1,6
Cheick Doucouré,0,0,920,165.8,138.5,36.0,34.2,0.0,141,3,12
Malcolm Ebiowei,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Odsonne Edouard,6,0,1243,295.0,183.6,485.0,96.6,2.2,197,4,16
Eberechi Eze,2,2,818,225.4,332.7,265.0,82.4,0.4,147,3,11
Vicente Guaita,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Marc Guéhi,0,0,1530,326.2,52.3,35.0,41.4,1.4,298,5,23
Will Hughes,0,0,963,166.8,202.4,39.0,40.7,1.0,115,4,19
Sam Johnstone,0,0,1436,254.4,0.0,0.0,25.6,1.0,254,5,22
Jefferson Lerma Solís,0,1,1126,161.6,226.7,168.0,55.6,1.6,157,3,18
Jean-Philippe Mateta,2,4,623,167.6,148.7,167.0,48.3,4.4,135,2,15
Remi Matthews,0,0,3,1.0,0.0,0.0,0.1,0.2,3,0,1
Tyrick Mitchell,1,1,1447,302.0,160.8,50.0,51.3,1.0,273,5,23
Jake O'Brien,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Michael Olise,2,1,495,159.2,253.2,122.0,53.6,4.0,135,0,11
Luke Plange,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Chris Richards,0,0,561,118.8,16.4,8.0,14.3,1.2,80,0,11
Jairo Riedewald,0,0,174,9.4,5.0,8.0,2.2,0.6,18,1,2
Jeffrey Schlupp,1,1,1068,184.8,157.6,172.0,51.2,1.8,125,4,14
James Tomkins,0,0,1,0.2,0.0,0.0,0.0,0.0,3,0,0
Joel Ward,0,1,1332,219.6,69.4,31.0,31.9,1.0,198,4,23
Joe Whitworth,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Dean Henderson,0,0,180,86.2,0.0,0.0,8.6,1.0,39,0,3
Matheus França de Oliveira,0,0,40,6.8,53.2,9.0,6.8,0.2,11,0,0
Jesurun Rak-Sakyi,0,0,132,23.2,28.2,58.0,11.0,0.0,21,1,3
John-Kymani Gordon,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ademola Ola-Adebomi,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
David Ozoh,0,0,91,14.6,2.2,0.0,1.7,0.4,8,0,2
Jadan Raymond,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tayo Adaramola,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
André Tavares Gomes,1,0,66,33.2,25.9,23.0,8.2,1.2,24,1,0
Jarrad Branthwaite,0,0,1350,282.6,42.2,56.0,38.0,3.7,255,5,17
Dominic Calvert-Lewin,3,1,975,150.2,90.1,425.0,65.6,2.0,97,6,13
Seamus Coleman,0,0,66,11.2,1.4,2.0,1.5,1.0,25,1,0
Dele Alli,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Abdoulaye Doucouré,6,2,1442,339.0,293.6,447.0,108.3,4.0,244,5,20
James Garner,1,1,1426,273.2,332.1,134.0,73.9,2.0,215,5,21
Jean-Philippe Gbamin,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ben Godfrey,0,0,91,9.6,0.8,0.0,1.0,1.0,24,1,0
Demarai Gray,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Idrissa Gueye,1,0,1013,158.6,139.3,84.0,38.2,1.0,145,2,17
Mason Holgate,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Michael Keane,1,0,316,94.4,3.3,83.0,18.1,2.3,56,1,7
Dwight McNeil,2,3,1202,296.2,387.2,226.0,91.0,5.8,200,6,11
Vitalii Mykolenko,2,1,1167,301.8,95.0,161.0,55.7,3.5,238,5,13
Amadou Onana,1,0,1133,161.2,153.1,169.0,48.5,2.2,166,3,16
Nathan Patterson,0,2,793,179.8,114.9,24.0,32.0,2.2,164,2,13
Jordan Pickford,0,0,1620,361.6,40.2,0.0,40.1,5.5,314,6,22
Ellis Simms,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
James Tarkowski,1,1,1620,418.0,126.7,164.0,71.1,4.7,319,6,22
João Neves Virgínia,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Andy Lonergan,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ashley Young,0,0,1209,147.6,238.6,28.0,41.6,2.5,177,3,19
Arnaut Danjuma Groeneveld,1,0,410,68.8,63.1,239.0,37.2,0.3,36,0,9
Lewis Dobbin,1,0,167,55.6,13.5,43.0,11.1,1.3,37,1,2
Youssef Ramalho Chermiti,0,0,46,0.0,13.5,17.0,2.7,0.3,13,0,2
Thomas Cannon,0,0,1,0.0,0.0,0.0,0.0,0.0,3,0,0
Tyler Onyango,0,0,1,0.0,0.0,0.0,0.0,0.0,3,0,0
Jack Harrison,1,3,947,189.8,203.2,150.0,54.3,2.7,133,6,8
Norberto Bercique Gomes Betuncal,1,0,425,63.8,76.2,170.0,30.2,1.5,44,2,5
Mackenzie Hunt,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jenson Metcalfe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Elijah Campbell,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alex Iwobi,3,1,1084,246.4,283.9,292.0,82.3,5.8,200,3,17
Andreas Hoelgebaum Pereira,1,6,1219,232.0,513.2,123.0,86.8,4.8,227,6,20
Tom Cairney,1,4,644,149.2,142.3,88.0,38.1,4.5,178,2,11
Ivan Neves Abreu Cavaleiro,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Bobby De Cordova-Reid,3,1,686,145.4,91.9,168.0,40.0,1.5,121,1,19
Issa Diop,0,0,790,172.4,16.9,25.0,21.5,0.2,144,3,16
Tyrese Francois,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Anthony Knockaert,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Terence Kongolo,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Bernd Leno,0,0,1620,585.8,0.1,0.0,58.5,3.7,402,5,31
Saša Lukić,0,0,377,46.2,49.5,30.0,12.3,0.5,47,1,8
Kevin Mbabu,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Aleksandar Mitrović,0,0,32,6.4,0.3,26.0,3.3,0.0,6,0,0
Rodrigo Muniz Carvalho,0,0,224,11.2,54.8,78.0,13.9,0.5,9,1,5
João Palhinha Gonçalves,2,1,1227,315.8,86.6,134.0,53.6,2.0,172,4,21
Tim Ream,1,0,1143,231.4,15.9,45.0,29.2,0.0,198,3,24
Harrison Reed,0,1,786,119.6,137.7,16.0,27.3,1.2,129,3,18
Antonee Robinson,0,3,1486,364.8,218.5,75.0,66.0,3.7,307,4,31
Marek Rodák,0,0,0,0.0,0.0,0.0,0.0,0.0,-3,0,0
Kenny Tete,1,0,530,131.2,62.4,46.0,24.0,1.2,99,2,12
Tosin Adarabioyo,1,0,362,135.0,14.1,27.0,17.6,3.8,96,2,5
Carlos Vinícius Alves Morais,2,0,298,83.6,60.8,139.0,28.1,1.3,74,0,4
Harry Wilson,2,4,1007,207.4,192.9,191.0,59.0,4.7,176,3,18
Raúl Jiménez,4,0,1014,205.0,129.5,281.0,60.7,4.0,154,4,25
Willian Borges da Silva,4,2,1000,252.4,298.4,242.0,79.1,4.7,214,4,15
Calvin Bassey,0,0,935,167.6,9.7,13.0,19.1,2.2,159,2,18
Luc De Fougerolles,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jay Stansfield,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Matthew Dibley-Dias,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Adama Traoré,0,0,40,9.6,5.0,21.0,3.5,0.0,9,0,3
Luke Harris,0,0,74,3.2,0.7,17.0,2.1,0.0,2,0,5
Timothy Castagne,0,0,1172,203.6,162.6,89.0,45.5,2.7,226,4,18
Steven Benda,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Fodé Ballo-Touré,0,0,41,10.0,1.2,2.0,1.4,0.3,9,0,0
Devan Tanton,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Adrián San Miguel del Castillo,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Trent Alexander-Arnold,2,4,1318,377.2,662.1,133.0,117.3,8.6,393,6,13
Alisson Ramses Becker,0,0,1440,405.0,10.1,0.0,41.4,2.2,346,5,13
Stefan Bajcetic,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Darwin Núñez Ribeiro,4,7,965,280.4,187.2,506.0,97.4,1.8,177,4,9
Diogo Teixeira da Silva,4,2,632,186.6,154.6,315.0,65.5,0.0,131,3,5
Harvey Elliott,1,2,332,99.0,109.9,72.0,27.9,1.8,104,0,2
Fabio Henrique Tavares,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Cody Gakpo,2,0,713,125.8,105.8,203.0,42.9,1.4,98,2,9
Joe Gomez,0,0,743,148.4,146.9,77.0,37.2,1.8,153,3,5
Jordan Henderson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Curtis Jones,0,1,458,65.6,49.1,42.0,15.2,1.6,56,1,6
Caoimhin Kelleher,0,0,180,32.6,0.0,0.0,3.2,1.4,41,1,3
Ibrahima Konaté,0,0,791,196.6,67.0,60.0,32.3,3.0,182,4,8
Luis Díaz,3,1,1064,175.8,263.6,339.0,77.7,2.2,130,4,12
Alexis Mac Allister,1,1,1086,197.0,164.6,31.0,39.2,2.0,164,3,12
Joel Matip,0,0,779,192.8,33.3,35.0,26.1,0.2,145,2,9
Nathaniel Phillips,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Andrew Robertson,1,0,720,196.2,284.3,46.0,52.7,0.0,167,1,9
Mohamed Salah,12,7,1560,666.6,564.2,771.0,200.4,6.2,410,6,15
Dominik Szoboszlai,2,4,1505,306.2,481.0,196.0,98.3,3.6,315,7,14
Thiago Alcántara do Nascimento,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Konstantinos Tsimikas,0,3,662,154.8,248.4,26.0,43.0,2.8,191,4,7
Sepp van den Berg,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Virgil van Dijk,1,2,1377,459.6,96.7,206.0,76.4,5.0,317,5,15
Jarell Quansah,0,0,171,35.0,3.8,0.0,3.9,0.2,36,0,1
Bobby Clark,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ben Doak,0,0,13,0.2,0.8,0.0,0.1,0.0,3,0,0
James McConnell,0,0,1,1.0,0.0,0.0,0.1,0.0,3,0,0
Wataru Endo,1,0,533,97.2,40.4,16.0,15.2,2.4,85,3,3
Ryan Gravenberch,0,0,530,72.2,99.0,101.0,27.1,1.6,68,2,6
Luke Chambers,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Callum Scanlon,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Treymaurice Nyoni,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Marcelo de Araújo Pitaluga Filho,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Conor Bradley,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Albert Sambi Lokonga,0,0,227,16.8,17.5,11.0,4.5,1.0,23,1,2
Marvelous Nakamba,0,0,1131,146.4,102.8,14.0,26.5,0.2,131,0,24
Elijah Adebayo,4,0,652,165.6,105.7,211.0,48.3,4.0,128,1,15
Mads Juel Andersen,1,0,385,122.4,1.8,27.0,15.2,0.2,72,0,6
Amari'i Bell,0,0,995,199.6,82.0,42.0,32.3,2.2,143,1,22
Luke Berry,0,0,26,0.0,0.0,2.0,0.2,0.0,6,0,1
Reece Burke,0,1,595,131.2,73.8,51.0,25.6,0.0,79,0,12
Allan Campbell,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jordan Clark,0,0,79,16.8,11.8,2.0,3.1,0.8,12,0,3
Alfie Doughty,0,3,1147,238.8,457.4,79.0,77.5,4.2,207,1,23
Luke Freeman,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Matt Macey,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
John McAtee,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Carlos Mendes Gomes,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Carlton Morris,3,2,1200,185.0,121.0,310.0,61.4,1.2,145,2,24
Admiral Muskwe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Chiedozie Ogbene,1,1,945,154.8,160.4,143.0,45.9,0.8,152,1,18
Fred Onyedinma,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Gabriel Osho,1,0,596,189.8,3.1,23.0,21.6,3.2,101,1,12
Aribim Pepple,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Dion Pereira,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Dan Potts,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Glen Rea,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
James Shea,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Joe Taylor,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Elliot Thorpe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jack Walton,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Louie Watson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Cauley Woodrow,0,0,74,26.0,49.3,32.0,10.6,0.0,29,0,2
Teden Mengi,1,0,950,222.4,6.3,54.0,28.4,1.8,136,1,18
Ryan Giles,0,0,427,69.0,96.8,36.0,20.3,1.0,66,0,12
Tom Lockyer,1,1,1169,286.2,39.2,80.0,40.6,0.5,162,0,23
Pelly Ruddock Mpanzu,0,0,718,70.8,68.6,41.0,18.0,1.0,68,1,14
Tahith Chong,1,0,679,93.4,54.3,101.0,24.5,0.8,60,0,17
Issa Kaboré,0,2,1002,178.8,157.5,50.0,38.5,0.5,135,0,21
Thomas Kaminski,0,0,1530,502.2,0.0,0.0,50.2,2.5,277,1,32
Ross Barkley,1,2,893,176.0,170.9,103.0,44.8,4.5,142,1,20
Jacob Brown,2,1,867,142.0,111.1,222.0,46.7,2.8,105,1,22
Aidan Francis-Clarke,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tim Krul,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Joseph Johnson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Andros Townsend,1,3,473,115.6,103.8,71.0,29.0,5.5,117,3,9
Jayden Luker,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Zack Nelson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Manuel Akanji,2,0,1081,258.6,112.9,71.0,44.3,1.0,222,3,15
Nathan Aké,2,1,825,219.8,96.3,149.0,46.5,1.0,205,1,11
Julián Álvarez,4,8,1409,345.0,595.9,339.0,128.0,3.5,333,6,15
Bernardo Veiga de Carvalho e Silva,4,3,1178,377.2,420.4,254.0,105.2,3.8,302,2,17
Oscar Bobb,0,2,69,30.4,45.1,8.0,8.3,0.2,41,0,2
João Cancelo,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Scott Carson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Shea Charles,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kevin De Bruyne,0,0,22,2.4,18.8,1.0,2.2,0.0,4,0,0
Rúben Gato Alves Dias,0,0,1275,279.8,100.5,104.0,48.6,1.5,225,3,18
Ederson Santana de Moraes,0,0,1440,284.8,10.0,0.0,29.3,1.8,261,4,19
Phil Foden,4,4,1334,355.2,457.8,412.0,122.7,4.8,304,5,17
Jack Grealish,3,1,543,191.2,197.2,181.0,57.0,5.8,144,2,8
Erling Haaland,14,5,1294,588.6,197.5,810.0,159.8,2.2,417,4,16
Mateo Kovačić,0,0,667,82.0,131.6,48.0,26.1,1.0,122,3,8
Aymeric Laporte,0,0,11,11.4,0.1,17.0,2.9,0.0,4,0,0
Rico Lewis,1,0,340,61.0,71.0,42.0,17.4,3.5,104,3,4
Riyad Mahrez,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Stefan Ortega Moreno,0,0,90,18.6,0.0,0.0,1.9,0.0,12,0,1
Máximo Perrone,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kalvin Phillips,0,0,89,16.2,9.3,6.0,3.1,0.0,14,0,2
Rodrigo Hernandez,3,3,1180,362.2,296.6,213.0,87.1,1.0,257,4,15
Sergio Gómez,0,1,15,19.4,14.6,4.0,3.8,0.0,17,0,0
Zack Steffen,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
John Stones,0,0,368,51.4,47.5,8.0,10.7,0.8,86,2,3
Kyle Walker,0,1,1530,227.6,313.5,56.0,59.7,1.5,307,4,20
Matheus Luiz Nunes,0,1,408,80.2,81.9,28.0,19.0,0.5,58,1,9
